Fecha,Hora,Temperatura (C),Humedad (%),Tension (V),Corriente (A),Potencia (W),Timestamp
2025-11-23,10:18:55,21.9,69.9,0,0.327,0,1763911135751
2025-11-23,10:19:25,21.9,69.9,0.52,0.335,0.17,1763911165560
2025-11-23,10:20:49,21.8,66.7,0,0.13,0,1763911249116
2025-11-23,10:21:21,23,67.4,0,0.135,0,1763911281732
2025-11-23,10:21:49,23.2,65.5,0,0.146,0,1763911309149
2025-11-23,10:22:19,23.2,65.4,0,0.172,0,1763911339123
2025-11-23,10:22:53,23.7,73.3,0,0.195,0,1763911373979
2025-11-23,10:23:19,24.6,64.2,10.19,0.21,2.14,1763911399701
2025-11-23,10:23:49,24.2,61.7,10.08,0.205,2.07,1763911429265
2025-11-23,10:24:19,23.6,63.6,8.64,0.206,1.78,1763911459549
2025-11-23,10:24:49,23.1,64.2,10.43,0.211,2.2,1763911489675
2025-11-23,10:25:19,22.7,66.5,10.37,0.22,2.28,1763911519454
2025-11-23,10:25:56,22.3,67.1,10.3,0.238,2.45,1763911556560
2025-11-23,10:26:20,22,68.8,10.31,0.239,2.47,1763911580582
2025-11-23,10:26:49,21.8,68.8,10.17,0.241,2.45,1763911609478
2025-11-23,10:27:19,21.6,70.1,10.37,0.239,2.48,1763911639276
2025-11-23,10:27:49,21.4,70.6,10.36,0.26,2.69,1763911669686
2025-11-23,10:28:19,21.2,71,10.53,0.265,2.79,1763911699481
2025-11-23,10:28:49,21.2,70.8,10.69,0.269,2.87,1763911729390
2025-11-23,10:29:22,21.1,71.4,10.92,0.278,3.04,1763911762184
2025-11-23,10:29:49,21,71.4,10.97,0.275,3.01,1763911789511
2025-11-23,10:30:19,21,71.5,11.02,0.283,3.12,1763911819907
2025-11-23,10:30:51,20.9,71.4,11.39,0.314,3.57,1763911851864
2025-11-23,10:31:22,20.9,71.5,11.4,0.324,3.7,1763911882267
2025-11-23,10:31:49,20.8,71.3,11.55,0.311,3.59,1763911909301
2025-11-23,10:32:19,20.8,70.9,11.56,0.303,3.51,1763911939640
2025-11-23,10:32:52,20.7,71.4,11.56,0.306,3.54,1763911972276
2025-11-23,10:33:19,20.7,71.5,11.51,0.311,3.58,1763911999328
2025-11-23,10:33:51,20.7,71.4,11.56,0.29,3.35,1763912031872
2025-11-23,10:34:19,20.7,71.4,11.54,0.285,3.29,1763912059504
2025-11-23,10:34:57,20.7,71.2,11.39,0.261,2.97,1763912097085
2025-11-23,10:35:21,20.7,70.6,11.32,0.233,2.64,1763912121566
2025-11-23,10:35:51,20.7,70.1,11.55,0.23,2.65,1763912151362
2025-11-23,10:36:21,20.7,70.8,11.56,0.233,2.69,1763912181285
2025-11-23,10:36:51,20.7,71,11.56,0.244,2.82,1763912211585
2025-11-23,10:37:21,20.7,71.2,11.58,0.248,2.87,1763912241389
2025-11-23,10:37:51,20.7,71.3,11.38,0.255,2.9,1763912271477
2025-11-23,10:38:24,20.7,71.4,11.47,0.254,2.91,1763912304362
2025-11-23,10:38:52,20.7,71.5,11.45,0.252,2.89,1763912332595
2025-11-23,10:39:21,20.7,71.3,11.36,0.266,3.02,1763912361497
2025-11-23,10:39:51,20.7,71.2,11.51,0.292,3.37,1763912391609
